"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of cereals (except rice), leguminous crops and oil seeds"
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of rice
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of vegetables and melons, roots and tubers"
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of sugar cane
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of tobacco
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of fibre crops
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of other non-perennial crops
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other non-perennial crops
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of grapes
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of tropical and subtropical fruits
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of citrus fruits
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of pome fruits and stone fruits
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other tree and bush fruits and nuts
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of oleaginous fruits
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of beverage crops
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,"Growing of spices, aromatic, drug and pharmaceutical crops"
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other perennial crops
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Plant propagation,Growing of other perennial crops
"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Plant propagation,Plant propagation
